flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
192.168.21.128-192.168.21.70-38718-80,192.168.21.128,192.168.21.70,38718,80,126,61,65,118750868.0,1.0655737704918034,0,0,65,126,0,0,0,0,1683666701556420.0,1683666820307288.0,0,0,0,0,5.473644201068072e-07,2.694717145141205e-07,2.778927055926867e-07,5.66059020301e-05,4.70901821113e-05,9.5157199187e-06,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-55498-80,192.168.21.128,192.168.21.70,55498,80,115,52,63,107903804.0,1.2115384615384617,0,0,63,115,0,0,0,0,1683775636286709.0,1683775744190513.0,0,0,0,0,5.83853373695704e-07,2.872929299137592e-07,2.965604437819449e-07,6.23240307635e-05,5.13976319129e-05,1.09263988505e-05,4,4,0,55,0,0,0,0,5,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41078-80,192.168.21.225,192.168.21.70,41078,80,1670,943,727,119755451.0,0.7709437963944857,0,0,963,1670,0,0,0,0,1719315362972694.0,1719315482728145.0,0,0,0,0,8.0413876108e-06,3.9914675783e-06,4.0499200324e-06,0.0006156045456335,0.0002634368601726,0.0003521676854609,0,0,0,963,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-41712-80,192.168.21.225,192.168.21.70,41712,80,1652,956,696,119741128.0,0.7280334728033473,0,0,959,1652,0,0,0,0,1719309963201184.0,1719310082942312.0,0,0,0,0,8.0089440947e-06,3.9919450232e-06,4.0169990715e-06,0.0006127719124209,0.0002634683715356,0.0003493035408853,0,0,0,959,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-42252-80,192.168.21.128,192.168.21.70,42252,80,50,25,25,119950410.0,1.0,0,0,24,50,0,0,0,0,1682532066068115.0,1682532186018525.0,0,0,0,0,2.0008268416923295e-07,1.0004134208461649e-07,1.0004134208461649e-07,3.40474034227e-05,4.2851041526e-06,2.97622992701e-05,4,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-41106-80,192.168.21.225,192.168.21.70,41106,80,1681,945,736,119807181.0,0.7788359788359789,0,0,962,1681,0,0,0,0,1719314642949445.0,1719314762756626.0,0,0,0,0,8.0295687785e-06,3.9897441539e-06,4.0398246245e-06,0.0006146125748505,0.0002633231141629,0.0003512894606876,0,0,0,962,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-52784-80,192.168.21.128,192.168.21.70,52784,80,45,22,23,114255078.0,1.0454545454545454,0,0,23,45,0,0,0,0,1682540532156489.0,1682540646411567.0,0,0,0,0,2.0130396305011493e-07,9.627580841527237e-08,1.0502815463484257e-07,3.01255756877e-05,3.868537029e-06,2.62570386587e-05,5,4,0,14,2,0,0,0,0,0,0,5,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-41344-80,192.168.21.225,192.168.21.70,41344,80,1722,947,775,119748825.0,0.8183738120380147,0,0,961,1722,0,0,0,0,1719315243246110.0,1719315362994935.0,0,0,0,0,8.0251309355e-06,3.9916884361e-06,4.0334424993e-06,0.0006141855671652,0.0002634514367886,0.0003507341303766,0,0,0,961,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-43317-80,192.168.21.225,192.168.21.70,43317,80,11,6,5,21725.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719081911203316.0,1719081911225041.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.70-192.168.21.128-80-49230,192.168.21.70,192.168.21.128,80,49230,37,19,18,25005029.0,0.9473684210526316,0,0,18,37,0,0,0,2,1682579073912395.0,1682579098917424.0,0,0,0,0,7.198551939291893e-07,3.5992759696459464e-07,3.5992759696459464e-07,0.0001024593892692,5.15496302763e-05,5.09097589928e-05,1,1,2,14,1,0,0,0,0,0,0,3,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-49230-80,192.168.21.128,192.168.21.70,49230,80,47,23,24,119952749.0,1.0434782608695652,0,0,24,47,0,0,0,0,1682574496812166.0,1682574616764915.0,0,0,0,0,2.0007878268800657e-07,1.0003939134400328e-07,1.0003939134400328e-07,3.40467395207e-05,4.2850205959e-06,2.97617189248e-05,4,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-54757-80,192.168.21.225,192.168.21.70,54757,80,11,6,5,11882.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082013262984.0,1719082013274866.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-38812-80,192.168.21.128,192.168.21.70,38812,80,41,20,21,101802160.0,1.05,0,0,21,41,0,0,0,0,1682595744670837.0,1682595846472997.0,0,0,0,0,2.0628246001853008e-07,9.822974286596669e-08,1.0805271715256337e-07,2.74846820538e-05,3.6541464346e-06,2.38305356192e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.128-80-38718,192.168.21.70,192.168.21.128,80,38718,125,61,64,118534100.0,1.0491803278688523,0,0,65,125,0,0,0,0,1683678102725449.0,1683678221259549.0,0,0,0,0,5.483654070853873e-07,2.6996450810357525e-07,2.78400898981812e-07,5.80086236787e-05,9.6849767282e-06,4.83236469505e-05,4,4,0,57,0,0,0,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.70-192.168.21.128-80-48966,192.168.21.70,192.168.21.128,80,48966,41,20,21,101695714.0,1.05,0,0,21,41,0,0,0,0,1682690625072581.0,1682690726768295.0,0,0,0,0,2.064983780929057e-07,9.833256099662177e-08,1.0816581709628393e-07,3.31380730558e-05,2.38161462733e-05,9.3219267824e-06,4,4,0,13,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-46326-80,192.168.21.128,192.168.21.70,46326,80,65,28,37,105103546.0,1.3214285714285714,3,1,35,62,0,0,0,0,1682637180430218.0,1682637285533764.0,1,0,0,0,3.139760860209227e-07,1.522308295859019e-07,1.6174525643502077e-07,6.68769063224e-05,3.16069259927e-05,3.52699803296e-05,0,0,0,33,0,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-38718-80,192.168.21.128,192.168.21.70,38718,80,127,64,63,117048002.0,0.984375,0,0,65,127,0,0,0,0,1683669101489867.0,1683669218537869.0,0,0,0,0,5.553277193061357e-07,2.733921079660976e-07,2.819356113400381e-07,5.74294296796e-05,4.7775270867e-05,9.6541588125e-06,5,4,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41770-80,192.168.21.225,192.168.21.70,41770,80,1659,950,709,119863067.0,0.7463157894736843,0,0,959,1659,0,0,0,0,1719313803160263.0,1719313923023330.0,0,0,0,0,8.0007964421e-06,3.9878839409e-06,4.0129125012e-06,0.0006121485277862,0.0002632003401014,0.0003489481876848,0,0,0,959,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-47466-80,192.168.21.128,192.168.21.70,47466,80,41,18,23,99845507.0,1.2777777777777777,3,0,22,39,0,0,0,0,1682647714047723.0,1682647813893230.0,1,0,0,0,1.9029399089535402e-07,8.012378564014904e-08,1.1017020525520493e-07,4.24455754428e-05,7.2111407076e-06,3.52344347352e-05,2,1,0,16,0,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-48966-80,192.168.21.128,192.168.21.70,48966,80,41,20,21,100044572.0,1.05,0,0,21,41,0,0,0,0,1682688806791277.0,1682688906835849.0,0,0,0,0,2.0990644050133973e-07,9.995544785778085e-08,1.0995099264355893e-07,2.80075164897e-05,3.7383337498e-06,2.42691827398e-05,5,4,0,12,2,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.225-80-41816,192.168.21.70,192.168.21.225,80,41816,1731,786,945,119802925.0,1.202290076335878,0,0,961,1731,0,0,0,0,1719307443175999.0,1719307562978924.0,0,0,0,0,8.0215069874e-06,4.0399681393e-06,3.981538848e-06,0.0006142587920954,0.0003514772281227,0.0002627815639726,0,0,0,961,477,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.70-192.168.21.128-80-40590,192.168.21.70,192.168.21.128,80,40590,4,3,1,43543048.0,0.3333333333333333,0,0,4,4,0,0,0,0,1682657102613888.0,1682657146156936.0,0,0,0,0,9.18631144057715e-08,6.889733580432865e-08,2.2965778601442875e-08,5.27294276689e-05,3.95470707516e-05,1.31823569172e-05,0,0,0,4,0,0,0,0,0,0,0,4,30.0,90,10,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-33924-80,192.168.21.128,192.168.21.70,33924,80,122,62,60,113370230.0,0.967741935483871,0,0,63,122,0,0,0,0,1683662281814871.0,1683662395185101.0,0,0,0,0,5.557014394343207e-07,2.7344039083276095e-07,2.822610486015597e-07,5.93189234951e-05,4.89193679857e-05,1.03995555094e-05,4,4,0,55,0,0,0,0,5,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-41404-80,192.168.21.225,192.168.21.70,41404,80,1697,958,739,119968361.0,0.7713987473903967,0,0,959,1697,0,0,0,0,1719311523052723.0,1719311643021084.0,0,0,0,0,7.9937742918e-06,3.9927193804e-06,4.0010549114e-06,0.0006107610322358,0.0002635194791066,0.0003472415531291,1,0,0,958,480,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-57556-80,192.168.21.225,192.168.21.70,57556,80,11,6,5,13507.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082976281235.0,1719082976294742.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
